uuid,downstream,lon1,lat1,lon2,lat2
urn:uuid:5cbd150b-f836-4c96-afea-6785cde48eff,urn:uuid:29700c94-a665-4c74-9b08-85755975b9c2,101.730000,28.432500,101.690000,28.437500
urn:uuid:25cfd5a8-2304-479a-b9c9-dcc34ee8e5fd,urn:uuid:b0fc507f-0a8f-4a35-a608-7fcdde0382db,110.818333,32.009167,110.807500,31.915000
urn:uuid:ea80e9fd-04f0-4682-9544-75036df5eb5c,urn:uuid:b57f29c9-a0a5-4fdd-ae3e-1b43435d509b,106.280000,29.152500,106.320000,29.100000
urn:uuid:91460504-dec3-4e54-a045-6e5e3f579376,urn:uuid:d348d7d8-ca5b-451f-98f4-1346d79d737c,108.447500,32.506667,108.383333,32.529167
urn:uuid:f50a618f-60bd-483b-9f10-b2d5a23085ef,urn:uuid:b6ac698e-2ee0-4145-a602-902a610fe075,101.403333,28.039167,101.387500,28.050000
urn:uuid:9337c3da-55fa-4019-af34-8dfe0d9068ba,urn:uuid:3857aeeb-1708-47a6-af45-9f67abd9d308,93.123333,34.024167,93.177500,34.025000
urn:uuid:02ee7a43-3f4b-4a5f-9cc6-5c567903cb14,urn:uuid:3c1bc5f0-02a2-45a2-820e-866e3215620d,109.163333,28.130833,109.152500,28.115000
urn:uuid:8616c2be-e482-41f4-9d1c-e699aa99f3a3,urn:uuid:391412a3-d15e-4522-bbd7-e6548f71316d,101.271667,28.407500,101.250833,28.459167
urn:uuid:301ea47f-d3ec-43fe-ab95-5c62307dbd29,urn:uuid:a20a2720-0e71-4e42-b4b4-7e098221cd6b,109.215833,30.169167,109.211667,30.147500
urn:uuid:a66c181f-b4e6-436f-ba13-0addb0fda511,urn:uuid:2624c43c-e101-4c20-a2f2-37a0cbce70c8,102.945000,28.420000,103.012500,28.439167
urn:uuid:cb1445e9-ecfa-4107-af25-72732afb7776,urn:uuid:70f7f40a-610d-4be0-add8-6f97acf71173,111.177500,26.215000,111.044167,26.310833
urn:uuid:c0eb514b-6bb3-438b-be38-f0787ca3eda6,urn:uuid:53464c34-ca94-42f2-8bbe-db9f2a3b92fd,95.492500,33.605833,95.508333,33.554167
urn:uuid:fc9ec7a6-e47e-49be-9583-c4284e535ac2,urn:uuid:9f77aa2e-8092-498a-bf28-65d866103465,114.352500,27.802500,114.341667,27.801667
urn:uuid:b63f55ef-80ef-4711-a7d0-06b9c2fb555e,urn:uuid:5a6bd338-7790-4491-bf97-3ed8a9532679,113.346667,34.858333,113.327500,34.813333
urn:uuid:ddbed45d-7595-41c0-93ae-39e0ad8ee272,urn:uuid:9d6b5992-5a0c-4858-aa4c-b4b76789c54c,116.932500,31.537500,116.903333,31.534167
urn:uuid:a0554a03-a671-48f7-922f-13f3279ddd46,urn:uuid:a2adb8a1-6bd9-473c-9dbf-37b2ee28e1dc,90.972500,33.799167,90.885833,33.745000
urn:uuid:a10ba6ed-20bf-44bf-ac21-57da60aa02a0,urn:uuid:031d39d6-233b-43f4-8bed-9a3f9c407e92,111.384167,31.481667,111.375000,31.485000
urn:uuid:caca26b2-f499-4eb2-bfee-6f26f5d37efb,urn:uuid:b1cb132d-074e-48f8-b47a-f9ea3887587d,100.680833,28.616667,100.736667,28.650000
urn:uuid:355e7575-440a-4187-b1ea-3993c5b29262,urn:uuid:fb91394d-8cff-4adf-a1b4-6413e950fa12,110.993333,26.085000,110.990833,26.088333
urn:uuid:3ef77a9c-2d66-4a6c-a7ac-79ca9b637fec,urn:uuid:45f7c126-f99c-40c1-ab80-b1be78e6208b,116.590833,27.188333,116.640000,27.155833
urn:uuid:2e125e98-c2ea-4645-9595-ac547ca656a9,urn:uuid:8280dec2-a627-42d7-a705-2726ddc1ce02,113.355833,26.612500,113.404167,26.600833
urn:uuid:45f4043a-8b15-491c-8df4-f2c9037952b3,urn:uuid:da05f878-3c2b-45d0-812a-ac5515ac453d,112.212500,30.777500,112.242500,30.819167
urn:uuid:d09a0a4d-4d06-43c6-9cdf-931906b2a575,urn:uuid:09cc14bb-bcb3-4c1f-a070-b46b44ce8ea2,102.048333,31.285833,102.148333,31.311667
urn:uuid:00119c5e-89ef-4daa-b976-bc27befbdc78,urn:uuid:e429cf76-19e6-4163-be82-561cc36816ea,101.909167,31.560000,101.852500,31.517500
urn:uuid:e9f6dbcd-0433-4f92-a221-513ee90cd3c1,urn:uuid:b9987dda-386e-4115-b9b8-a174cba49a5f,102.727500,31.960000,102.734167,31.922500
urn:uuid:0b0110f0-6d92-4967-9b56-78b9a277dd56,urn:uuid:bbf871de-b3a4-4699-ac12-c5f5959b4e55,117.306667,32.532500,117.317500,32.562500
urn:uuid:5ffc0ede-8165-422e-af4d-1278b2f907e1,urn:uuid:cca00320-d659-4e9b-aaa5-33b0a8edd825,103.650833,29.088333,103.586667,29.108333
urn:uuid:16a3e5c8-af1d-4715-b995-00b66591d343,urn:uuid:416c79e8-b503-401c-8f05-fd7c75d570b4,93.155000,34.849167,93.143333,34.880833
urn:uuid:7319d492-ae11-4055-ae3a-0f85548ea9d6,urn:uuid:94e96ce3-67b0-43c9-8642-290693b880db,103.130833,32.308333,103.140000,32.345000
urn:uuid:f11999aa-fad7-43d6-90b4-56de6654c876,urn:uuid:bf7f96a1-e396-4ce0-ad59-755190149b20,106.072500,27.780833,106.071667,27.825000
urn:uuid:0d657eaa-400d-4e6f-bf66-a1250391bbb2,urn:uuid:8feaf078-0a67-4126-a98e-08070f22167a,111.873333,30.350833,111.864167,30.325000
urn:uuid:0b85193e-f9a8-4978-8718-bd458dcec816,urn:uuid:1bc0a570-5491-473b-932d-1eb92213e3e4,114.349167,30.922500,114.290000,30.921667
urn:uuid:2943c7bc-8cfb-4fd6-84b1-32ff52190000,urn:uuid:1aef6b68-d7b5-45a7-8e9e-f2a6ede4bb05,105.635833,31.507500,105.619167,31.513333
urn:uuid:17b8e4cb-3807-49d0-b216-ecc24e93750b,urn:uuid:143c444e-525b-4c77-924a-5ebb1b6f1fc6,106.635833,33.506667,106.643333,33.507500
urn:uuid:c25ffc10-eab9-4873-a713-b86da596cdc1,urn:uuid:12b7a0ab-dccc-4ab2-8ef6-1c60fa33710b,115.135000,32.228333,115.095000,32.191667
urn:uuid:edea396f-0eac-47f4-b1ad-23bf600cb566,urn:uuid:9999dc98-51e3-4290-a40d-00fa1cc8111a,114.840833,31.865000,114.758333,31.734167
urn:uuid:838a23c0-92ec-4164-b5b7-7f529af45fbb,urn:uuid:f61e9e83-4aa8-4210-83f3-a9aff06c532e,104.335000,28.966667,104.289167,29.093333
urn:uuid:b44cfe8f-5fb5-448e-9a7c-44c8f5a98c2b,urn:uuid:6966b483-48dc-4320-8f46-f4a9a8b43dfa,110.713333,29.839167,110.694167,29.842500
urn:uuid:00c677f5-0357-473f-bb4e-da3f577e4f67,urn:uuid:a15d92ac-8c43-4c41-b5a3-1c8aff58c9a3,101.309167,29.040000,101.345833,28.996667
